City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Puerto Ayora,EC,2020-05-07 01:45:46,-0.74,-90.35,77.0,93,27,1.99
70,Ler,SS,2020-05-07 01:45:46,8.3,30.14,83.1,55,100,5.32
71,Victoria,HK,2020-05-07 01:42:42,22.29,114.16,86.0,74,78,5.99
72,Punta Arenas,CL,2020-05-07 01:45:41,-53.15,-70.92,41.0,93,75,2.24
73,Novo Aripuana,BR,2020-05-07 01:45:47,-5.12,-60.38,74.64,98,100,1.45
74,Nicoya,CR,2020-05-07 01:45:01,10.15,-85.45,73.99,84,9,21.0
75,Tastur,TN,2020-05-07 01:45:47,36.55,9.44,66.2,77,100,2.24
76,Christchurch,NZ,2020-05-07 01:41:32,-43.53,172.63,60.8,51,53,4.7
77,Cabo San Lucas,MX,2020-05-07 01:45:47,22.89,-109.91,86.0,12,5,11.41
78,Comodoro Rivadavia,AR,2020-05-07 01:45:48,-45.87,-67.5,60.8,59,100,12.75
79,East London,ZA,2020-05-07 01:45:15,-33.02,27.91,64.06,78,10,4.38
80,Husavik,IS,2020-05-07 01:45:48,66.04,-17.34,42.8,70,90,16.11
81,Bethel,US,2020-05-07 01:45:48,41.37,-73.41,45.0,81,90,6.93
82,Suluq,LY,2020-05-07 01:45:48,31.67,20.25,66.49,26,0,8.19
83,Dir,PK,2020-05-07 01:45:48,35.21,71.88,61.29,34,0,6.4
84,Dongsheng,CN,2020-05-07 01:45:49,39.82,109.98,63.57,39,99,2.68
85,Solnechnyy,RU,2020-05-07 01:45:49,50.72,136.63,65.97,24,0,0.72
86,Port Elizabeth,ZA,2020-05-07 01:45:01,-33.92,25.57,62.6,88,40,6.93
87,Talagang,PK,2020-05-07 01:45:49,32.93,72.42,75.42,43,0,3.53
88,Kavieng,PG,2020-05-07 01:45:49,-2.57,150.8,84.43,71,20,6.08
89,Ancud,CL,2020-05-07 01:45:49,-41.87,-73.82,51.01,100,21,1.12
90,Ketchikan,US,2020-05-07 01:45:50,55.34,-131.65,50.0,81,90,17.22
91,Bluff,NZ,2020-05-07 01:45:50,-46.6,168.33,54.91,79,40,28.57
92,Kruisfontein,ZA,2020-05-07 01:45:50,-34.0,24.73,55.38,94,0,4.54
93,Los Llanos De Aridane,ES,2020-05-07 01:45:50,28.66,-17.92,66.2,68,40,4.7
94,Coihaique,CL,2020-05-07 01:41:40,-45.58,-72.07,48.2,93,100,6.93
95,Thompson,CA,2020-05-07 01:45:50,55.74,-97.86,33.8,37,5,11.41
96,Upernavik,GL,2020-05-07 01:45:51,72.79,-56.15,19.2,94,100,7.67
97,Nanortalik,GL,2020-05-07 01:45:51,60.14,-45.24,38.95,84,99,3.18
98,Hilo,US,2020-05-07 01:45:51,19.73,-155.09,82.4,58,20,12.75
99,Corrente,BR,2020-05-07 01:45:51,-3.74,-43.34,73.69,98,0,2.42
100,Margate,GB,2020-05-07 01:44:23,51.38,1.39,48.99,81,0,8.14
101,Hermanus,ZA,2020-05-07 01:45:51,-34.42,19.23,61.86,79,38,9.57
102,Ginda,IN,2020-05-07 01:45:52,30.69,78.49,58.24,59,10,1.21
103,Katiola,CI,2020-05-07 01:45:52,8.13,-5.1,75.9,91,80,3.62
104,Masaka,UG,2020-05-07 01:45:52,-0.33,31.73,64.65,95,98,4.34
105,Coquimbo,CL,2020-05-07 01:45:52,-29.95,-71.34,53.6,93,90,3.36
106,Sungaipenuh,ID,2020-05-07 01:45:52,-2.08,101.38,78.49,68,79,0.51
107,Flin Flon,CA,2020-05-07 01:45:26,54.77,-101.86,39.31,67,0,7.9
108,Arman,RU,2020-05-07 01:45:53,59.7,150.17,39.96,66,100,9.82
109,Bambanglipuro,ID,2020-05-07 01:45:53,-7.95,110.28,81.88,75,100,4.54
110,Codrington,AU,2020-05-07 01:45:53,-38.27,141.97,66.45,40,100,22.35
111,Mar Del Plata,AR,2020-05-07 01:45:32,-38.0,-57.56,54.0,100,75,3.36
112,Anamur,TR,2020-05-07 01:45:53,36.08,32.84,64.0,67,0,8.08
113,Porterville,US,2020-05-07 01:45:53,36.07,-119.02,82.4,30,1,4.7
114,Rumphi,MW,2020-05-07 01:45:54,-11.02,33.86,60.98,91,16,2.51
115,Hobart,AU,2020-05-07 01:45:54,-42.88,147.33,60.01,71,75,11.41
116,Matara,LK,2020-05-07 01:45:54,5.95,80.54,81.03,82,70,4.0
